Depth (m),Density (g/cc),DTCO (us/ft),DTSM (us/ft),Vp(0) (m/s),Vs(0) (m/s),v_iso_d,E_iso_d (Mpsi),Ev_d (Mpsi),Eh_d (Mpsi),vv_d,vh_d,Porosity,C11,C12,C13,C33,C44,Min Stress,Max Stress
4055.88,2.36,84.7,159.48,3598.42,1911.22,0.3,3.27,3.33,5.16,0.24,0.27,0.16816,6.735314437,2.670529566,2.287359684,4.440917411,1.252766914,9286.533829,11282.53531
4056,2.35,85.17,157.11,3578.84,1940.09,0.29,3.32,3.36,5.2,0.23,0.26,0.158871994,6.644535957,2.522274486,2.147373112,4.3666901,1.283251668,9093.635143,11089.69814
4056.13,2.36,84.96,153.06,3587.63,1991.35,0.28,3.47,3.5,5.39,0.22,0.26,0.156999998,6.707083704,2.41255864,2.040136804,4.414320673,1.360019721,8848.523278,10844.64779
4056.25,2.41,83.38,147.31,3655.41,2069.12,0.26,3.78,3.79,5.75,0.22,0.25,0.165011997,7.007706604,2.403813564,2.024005618,4.664111893,1.494406767,8614.910147,10611.09617
4056.38,2.46,79.84,139.88,3817.55,2178.95,0.26,4.26,4.28,6.31,0.21,0.25,0.182454014,7.618694208,2.564380362,2.16433749,5.201233113,1.69446239,8467.32088,10463.56842
4056.5,2.5,75.53,131.76,4035.44,2313.25,0.26,4.87,4.9,6.97,0.21,0.25,0.205949993,8.381123152,2.798493677,2.370529098,5.904044552,1.940051163,8346.439409,10342.74846
4056.63,2.51,72.19,124.93,4222.48,2439.8,0.25,5.42,5.46,7.55,0.21,0.25,0.144046001,9.00245005,2.946613869,2.49267788,6.500233695,2.170206239,8197.164086,10193.53466
4056.75,2.5,71.05,122.9,4289.76,2480.01,0.25,5.56,5.61,7.69,0.21,0.25,0.112580004,9.151361866,2.993533741,2.533459956,6.663646761,2.227161858,8170.187048,10166.61914
4056.88,2.47,71.51,125.92,4262.14,2420.64,0.26,5.3,5.36,7.39,0.22,0.26,0.091627998,8.970488627,3.085097983,2.636167671,6.50957172,2.099700977,8375.889736,10372.38334
4057,2.45,72.24,131.49,4219.46,2317.99,0.28,4.9,4.98,6.95,0.24,0.27,0.074126,8.756843168,3.274572925,2.836793628,6.320469689,1.907465793,8739.838095,10736.39321
4057.13,2.42,72.66,134.69,4194.74,2262.91,0.29,4.66,4.76,6.68,0.24,0.27,0.065869999,8.589657848,3.346151875,2.915144901,6.180255442,1.798588404,8929.679884,10926.29652
4057.25,2.43,73.11,132.27,4169,2304.42,0.28,4.8,4.87,6.84,0.23,0.26,0.065374002,8.554971946,3.149034777,2.718959359,6.134879746,1.874420266,8693.691546,10690.3697
4057.38,2.45,73.2,128.81,4164.13,2366.22,0.26,5.03,5.07,7.09,0.22,0.25,0.069228001,8.607096212,2.95096834,2.517058117,6.168357395,1.991732282,8402.562691,10399.30236
4057.5,2.46,72.79,127.92,4187.34,2382.8,0.26,5.11,5.16,7.19,0.22,0.25,0.076352,8.709060579,2.975497838,2.537143665,6.260201843,2.027157716,8379.780387,10376.58157
4057.63,2.45,72.58,129.69,4199.74,2350.29,0.27,4.99,5.05,7.05,0.23,0.26,0.085269995,8.697032721,3.106323829,2.670156377,6.261524276,1.960992567,8555.509242,10552.37194
4057.75,2.41,72.55,134.31,4201.11,2269.39,0.29,4.66,4.76,6.68,0.24,0.27,0.094110003,8.576708347,3.331709304,2.901759535,6.175974381,1.802170991,8915.791714,10912.71593
4057.88,2.39,72.1,138.65,4227.65,2198.3,0.31,4.41,4.54,6.39,0.26,0.29,0.102374001,8.580750912,3.607553274,3.176169541,6.199803923,1.676302366,9268.195873,11265.1816
4058,2.41,71.04,138.7,4290.49,2197.58,0.32,4.47,4.63,6.47,0.27,0.29,0.148191996,8.849239105,3.832544254,3.390357665,6.444227713,1.690629581,9382.994433,11380.04168
4058.13,2.44,69.07,134.8,4413.11,2261.14,0.32,4.79,4.97,6.83,0.27,0.29,0.17635601,9.343521476,4.056024374,3.597708603,6.905428751,1.812827458,9340.893279,11338.00204
4058.25,2.48,67.02,128.79,4547.73,2366.68,0.31,5.29,5.48,7.37,0.26,0.29,0.174141998,9.902414472,4.187037098,3.709715935,7.432179841,2.012822995,9159.897682,11157.06796
4058.38,2.51,65.64,122.52,4643.17,2487.72,0.3,5.85,6.02,7.97,0.25,0.28,0.171310005,10.34288254,4.127719923,3.630743561,7.844351051,2.251802563,8859.113234,10856.34503
4058.5,2.54,64.39,117.91,4733.32,2585.01,0.29,6.34,6.51,8.5,0.24,0.28,0.157222004,10.77800882,4.126292504,3.606728279,8.252687155,2.461440551,8645.270079,10642.56339
4058.63,2.55,63.36,115.38,4810.43,2641.78,0.28,6.62,6.8,8.79,0.24,0.28,0.140523996,11.07481629,4.189658588,3.655218568,8.547271171,2.577827115,8567.64486,10564.99968
4058.75,2.55,63.53,115.97,4797.97,2628.28,0.29,6.57,6.75,8.74,0.24,0.28,0.123316002,11.04443247,4.202692731,3.670384923,8.513065576,2.554550079,8596.943104,10594.35944
4058.88,2.54,64.51,120.07,4724.88,2538.59,0.3,6.16,6.35,8.31,0.25,0.28,0.109272003,10.7490354,4.270191444,3.755621032,8.223264801,2.373833012,8809.25476,10806.73261
4059,2.51,66,125.65,4618.43,2425.8,0.31,5.62,5.81,7.74,0.26,0.29,0.103640003,10.27674092,4.272996702,3.780525632,7.773380375,2.144524685,9055.397398,11052.93677
